name,code,capital,latitude,longitude,continent,population,clue1,clue2,clue3,clue4,clue5,clue6,clue7,clue8,clue9,clue10
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
Germany,DE,Berlin,51.1657,10.4515,Europe,83200000,Has the largest economy in Europe,Famous for its Autobahn highway with no speed limit,Shares borders with 9 different countries,Home to the Black Forest and Bavarian Alps,World's largest car exporter,Known for Oktoberfest and beer culture,"The flag has black, red, and gold stripes",Invented the printing press,Albert Einstein was born here,This country was once divided into East and West
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
Australia,AU,Canberra,-25.2744,133.7751,Oceania,26000000,Has the world's largest coral reef system,"Home to the world's deadliest animals, including box jellyfish",A continent and a country in one,"Contains the Outback, a vast desert region",One of the biggest exporters of wool,Famous for its Aboriginal art and culture,The flag contains the Union Jack in the top left corner,The only country to be home to kangaroos and koalas,Hosted the 2000 Summer Olympics,This country celebrates Australia Day on January 26
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
India,IN,New Delhi,20.5937,78.9629,Asia,1400000000,The second most populous country in the world,Has the longest rail network in Asia,"Borders Pakistan, China, Nepal, Bhutan, Bangladesh, and Myanmar","Contains the Himalayas, the tallest mountain range",Largest producer of spices,"Home to Bollywood, the largest film industry",Has a navy blue wheel (Ashoka Chakra) in the center,World's largest democracy,Mahatma Gandhi was born here,This country has the Taj Mahal
France,FR,Paris,46.2276,2.2137,Europe,67391582,"This country has over 1,500 different types of cheese",Home to the world's most visited museum,Known for its fashion industry and haute couture,Famous for its wine regions like Bordeaux and Champagne,Has the highest mountain in Western Europe,Its capital city is known as the City of Light,Home to the Palace of Versailles,"The national motto is Liberté, Égalité, Fraternité",Has a famous tower built for the 1889 World's Fair,This country is shaped like a hexagon
India,IN,New Delhi,20.5937,78.9629,Asia,1400000000,The second most populous country in the world,Has the longest rail network in Asia,"Borders Pakistan, China, Nepal, Bhutan, Bangladesh, and Myanmar","Contains the Himalayas, the tallest mountain range",Largest producer of spices,"Home to Bollywood, the largest film industry",Has a navy blue wheel (Ashoka Chakra) in the center,World's largest democracy,Mahatma Gandhi was born here,This country has the Taj Mahal
India,IN,New Delhi,20.5937,78.9629,Asia,1400000000,The second most populous country in the world,Has the longest rail network in Asia,"Borders Pakistan, China, Nepal, Bhutan, Bangladesh, and Myanmar","Contains the Himalayas, the tallest mountain range",Largest producer of spices,"Home to Bollywood, the largest film industry",Has a navy blue wheel (Ashoka Chakra) in the center,World's largest democracy,Mahatma Gandhi was born here,This country has the Taj Mahal
Mexico,MX,Mexico City,23.6345,-102.5528,North America,126000000,Home to the largest pyramid in the world,Has the world's second most museums per city,"Borders the United States, Guatemala, and Belize",Contains the Yucatán Peninsula and Sierra Madre mountains,Exports the most avocados in the world,Famous for Mariachi music and Day of the Dead,The flag features an eagle devouring a snake,The Aztecs founded its capital on a lake,Frida Kahlo was born here,This country gave the world tacos and tequila
Germany,DE,Berlin,51.1657,10.4515,Europe,83200000,Has the largest economy in Europe,Famous for its Autobahn highway with no speed limit,Shares borders with 9 different countries,Home to the Black Forest and Bavarian Alps,World's largest car exporter,Known for Oktoberfest and beer culture,"The flag has black, red, and gold stripes",Invented the printing press,Albert Einstein was born here,This country was once divided into East and West
Mexico,MX,Mexico City,23.6345,-102.5528,North America,126000000,Home to the largest pyramid in the world,Has the world's second most museums per city,"Borders the United States, Guatemala, and Belize",Contains the Yucatán Peninsula and Sierra Madre mountains,Exports the most avocados in the world,Famous for Mariachi music and Day of the Dead,The flag features an eagle devouring a snake,The Aztecs founded its capital on a lake,Frida Kahlo was born here,This country gave the world tacos and tequila
India,IN,New Delhi,20.5937,78.9629,Asia,1400000000,The second most populous country in the world,Has the longest rail network in Asia,"Borders Pakistan, China, Nepal, Bhutan, Bangladesh, and Myanmar","Contains the Himalayas, the tallest mountain range",Largest producer of spices,"Home to Bollywood, the largest film industry",Has a navy blue wheel (Ashoka Chakra) in the center,World's largest democracy,Mahatma Gandhi was born here,This country has the Taj Mahal
Australia,AU,Canberra,-25.2744,133.7751,Oceania,26000000,Has the world's largest coral reef system,"Home to the world's deadliest animals, including box jellyfish",A continent and a country in one,"Contains the Outback, a vast desert region",One of the biggest exporters of wool,Famous for its Aboriginal art and culture,The flag contains the Union Jack in the top left corner,The only country to be home to kangaroos and koalas,Hosted the 2000 Summer Olympics,This country celebrates Australia Day on January 26
France,FR,Paris,46.2276,2.2137,Europe,67391582,"This country has over 1,500 different types of cheese",Home to the world's most visited museum,Known for its fashion industry and haute couture,Famous for its wine regions like Bordeaux and Champagne,Has the highest mountain in Western Europe,Its capital city is known as the City of Light,Home to the Palace of Versailles,"The national motto is Liberté, Égalité, Fraternité",Has a famous tower built for the 1889 World's Fair,This country is shaped like a hexagon
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
France,FR,Paris,46.2276,2.2137,Europe,67391582,"This country has over 1,500 different types of cheese",Home to the world's most visited museum,Known for its fashion industry and haute couture,Famous for its wine regions like Bordeaux and Champagne,Has the highest mountain in Western Europe,Its capital city is known as the City of Light,Home to the Palace of Versailles,"The national motto is Liberté, Égalité, Fraternité",Has a famous tower built for the 1889 World's Fair,This country is shaped like a hexagon
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
France,FR,Paris,46.2276,2.2137,Europe,67391582,"This country has over 1,500 different types of cheese",Home to the world's most visited museum,Known for its fashion industry and haute couture,Famous for its wine regions like Bordeaux and Champagne,Has the highest mountain in Western Europe,Its capital city is known as the City of Light,Home to the Palace of Versailles,"The national motto is Liberté, Égalité, Fraternité",Has a famous tower built for the 1889 World's Fair,This country is shaped like a hexagon
Mexico,MX,Mexico City,23.6345,-102.5528,North America,126000000,Home to the largest pyramid in the world,Has the world's second most museums per city,"Borders the United States, Guatemala, and Belize",Contains the Yucatán Peninsula and Sierra Madre mountains,Exports the most avocados in the world,Famous for Mariachi music and Day of the Dead,The flag features an eagle devouring a snake,The Aztecs founded its capital on a lake,Frida Kahlo was born here,This country gave the world tacos and tequila
South Africa,ZA,Pretoria,-30.5595,22.9375,Africa,60000000,Has three capital cities,Home to the 'Big Five' safari animals,"Borders Namibia, Botswana, Zimbabwe, Mozambique, Eswatini, and Lesotho","Contains Table Mountain, a famous landmark",A major exporter of gold and diamonds,Famous for Nelson Mandela and apartheid history,"Has six colors on its flag, the most of any national flag",First country to voluntarily give up nuclear weapons,Elon Musk was born here,Hosted the 2010 FIFA World Cup
India,IN,New Delhi,20.5937,78.9629,Asia,1400000000,The second most populous country in the world,Has the longest rail network in Asia,"Borders Pakistan, China, Nepal, Bhutan, Bangladesh, and Myanmar","Contains the Himalayas, the tallest mountain range",Largest producer of spices,"Home to Bollywood, the largest film industry",Has a navy blue wheel (Ashoka Chakra) in the center,World's largest democracy,Mahatma Gandhi was born here,This country has the Taj Mahal
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
Australia,AU,Canberra,-25.2744,133.7751,Oceania,26000000,Has the world's largest coral reef system,"Home to the world's deadliest animals, including box jellyfish",A continent and a country in one,"Contains the Outback, a vast desert region",One of the biggest exporters of wool,Famous for its Aboriginal art and culture,The flag contains the Union Jack in the top left corner,The only country to be home to kangaroos and koalas,Hosted the 2000 Summer Olympics,This country celebrates Australia Day on January 26
India,IN,New Delhi,20.5937,78.9629,Asia,1400000000,The second most populous country in the world,Has the longest rail network in Asia,"Borders Pakistan, China, Nepal, Bhutan, Bangladesh, and Myanmar","Contains the Himalayas, the tallest mountain range",Largest producer of spices,"Home to Bollywood, the largest film industry",Has a navy blue wheel (Ashoka Chakra) in the center,World's largest democracy,Mahatma Gandhi was born here,This country has the Taj Mahal
Australia,AU,Canberra,-25.2744,133.7751,Oceania,26000000,Has the world's largest coral reef system,"Home to the world's deadliest animals, including box jellyfish",A continent and a country in one,"Contains the Outback, a vast desert region",One of the biggest exporters of wool,Famous for its Aboriginal art and culture,The flag contains the Union Jack in the top left corner,The only country to be home to kangaroos and koalas,Hosted the 2000 Summer Olympics,This country celebrates Australia Day on January 26
Australia,AU,Canberra,-25.2744,133.7751,Oceania,26000000,Has the world's largest coral reef system,"Home to the world's deadliest animals, including box jellyfish",A continent and a country in one,"Contains the Outback, a vast desert region",One of the biggest exporters of wool,Famous for its Aboriginal art and culture,The flag contains the Union Jack in the top left corner,The only country to be home to kangaroos and koalas,Hosted the 2000 Summer Olympics,This country celebrates Australia Day on January 26
France,FR,Paris,46.2276,2.2137,Europe,67391582,"This country has over 1,500 different types of cheese",Home to the world's most visited museum,Known for its fashion industry and haute couture,Famous for its wine regions like Bordeaux and Champagne,Has the highest mountain in Western Europe,Its capital city is known as the City of Light,Home to the Palace of Versailles,"The national motto is Liberté, Égalité, Fraternité",Has a famous tower built for the 1889 World's Fair,This country is shaped like a hexagon
South Africa,ZA,Pretoria,-30.5595,22.9375,Africa,60000000,Has three capital cities,Home to the 'Big Five' safari animals,"Borders Namibia, Botswana, Zimbabwe, Mozambique, Eswatini, and Lesotho","Contains Table Mountain, a famous landmark",A major exporter of gold and diamonds,Famous for Nelson Mandela and apartheid history,"Has six colors on its flag, the most of any national flag",First country to voluntarily give up nuclear weapons,Elon Musk was born here,Hosted the 2010 FIFA World Cup
Brazil,BR,Brasília,-14.235,-51.9253,South America,215313498,"Home to the Amazon Rainforest, the largest in the world",Has the world's most famous Carnival festival,Borders every South American country except Chile and Ecuador,"Contains the Pantanal, the world's largest tropical wetland",The largest exporter of coffee in the world,Football (soccer) is the most popular sport here,The flag is green with a yellow diamond,The only Portuguese-speaking country in South America,Hosted the FIFA World Cup in 2014,This country is home to the Christ the Redeemer statue
Mexico,MX,Mexico City,23.6345,-102.5528,North America,126000000,Home to the largest pyramid in the world,Has the world's second most museums per city,"Borders the United States, Guatemala, and Belize",Contains the Yucatán Peninsula and Sierra Madre mountains,Exports the most avocados in the world,Famous for Mariachi music and Day of the Dead,The flag features an eagle devouring a snake,The Aztecs founded its capital on a lake,Frida Kahlo was born here,This country gave the world tacos and tequila
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
Australia,AU,Canberra,-25.2744,133.7751,Oceania,26000000,Has the world's largest coral reef system,"Home to the world's deadliest animals, including box jellyfish",A continent and a country in one,"Contains the Outback, a vast desert region",One of the biggest exporters of wool,Famous for its Aboriginal art and culture,The flag contains the Union Jack in the top left corner,The only country to be home to kangaroos and koalas,Hosted the 2000 Summer Olympics,This country celebrates Australia Day on January 26
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
Japan,JP,Tokyo,36.2048,138.2529,Asia,125800000,"Home to Mount Fuji, an iconic active volcano",Has the busiest train station in the world,"Consists of over 6,800 islands",Famous for its cherry blossom festivals,Exports high-quality sushi and seafood worldwide,Known for its anime and manga industry,The flag is a white background with a red circle,Has the world's oldest continuously operating company,Home to the world's busiest pedestrian crossing,This country hosted the 2020 Summer Olympics
United States,US,"Washington, D.C.",37.0902,-95.7129,North America,331893745,The third most populous country in the world,Has the longest river system in North America,Shares the longest international border with Canada,"Contains the Grand Canyon, one of the Seven Natural Wonders",Largest producer of Hollywood films,Birthplace of fast food chains like McDonald's and KFC,The flag has 50 stars and 13 stripes,First country to land humans on the moon,"Home to Silicon Valley, the tech capital of the world",Has the world's largest economy
Mexico,MX,Mexico City,23.6345,-102.5528,North America,126000000,Home to the largest pyramid in the world,Has the world's second most museums per city,"Borders the United States, Guatemala, and Belize",Contains the Yucatán Peninsula and Sierra Madre mountains,Exports the most avocados in the world,Famous for Mariachi music and Day of the Dead,The flag features an eagle devouring a snake,The Aztecs founded its capital on a lake,Frida Kahlo was born here,This country gave the world tacos and tequila
